name,iso,format,reciprocityProfileId,spectralSensitivity,purchaseUrl,positiveExposure,formatWidth,formatHeight
Kodak Ektachrome E100 120,100,120,1.28,panchromatic,,,,
Kodak Ektachrome E100 4x5,100,4x5,1.28,panchromatic,,,,
Kodak Ektar 100 35mm,100,35mm,1.30,panchromatic,,,,
Kodak Ektar 100 120,100,120,1.30,panchromatic,,,,
Kodak Ektar 100 4x5,100,4x5,1.30,panchromatic,,,,
Kodak Gold 200 35mm,200,35mm,1.35,panchromatic,,,,
Kodak Portra 160 35mm,160,35mm,1.30,panchromatic,,,,
Kodak Portra 160 120,160,120,1.30,panchromatic,,,,
Kodak Portra 160 4x5,160,4x5,1.30,panchromatic,,,,
Kodak Portra 160 8x10,160,8x10,1.30,panchromatic,,,,
Kodak Portra 400 35mm,400,35mm,1.31,panchromatic,,,,
Kodak Portra 400 120,400,120,1.31,panchromatic,,,,
Kodak Portra 400 4x5,400,4x5,1.31,panchromatic,,,,
Kodak Portra 400 8x10,400,8x10,1.31,panchromatic,,,,
Kodak ProImage 100 35mm,100,35mm,1.12,panchromatic,,,,
Kodak T-Max 100 35mm,100,35mm,1.05,panchromatic,,,,
Kodak T-Max 100 120,100,120,1.05,panchromatic,,,,
Kodak T-Max 100 4x5,100,4x5,1.05,panchromatic,,,,
Kodak T-Max 100 8x10,100,8x10,1.05,panchromatic,,,,
Kodak T-Max 400 35mm,400,35mm,1.08,panchromatic,,,,
Kodak T-Max 400 120,400,120,1.08,panchromatic,,,,
Kodak T-Max 400 4x5,400,4x5,1.08,panchromatic,,,,
Kodak T-Max 400 8x10,400,8x10,1.08,panchromatic,,,,
Kodak Tri-X 400 35mm,400,35mm,1.33,panchromatic,,,,
Kodak Tri-X 400 120,400,120,1.33,panchromatic,,,,
Kodak Tri-X 400 4x5,400,4x5,1.33,panchromatic,,,,
Kodak UltraMax 400 35mm,400,35mm,1.35,panchromatic,,,,
Lomography Color 100 35mm,100,35mm,1.15,panchromatic,,,,
Lomography Color 100 120,100,120,1.15,panchromatic,,,,
Lomography Color 400 35mm,400,35mm,1.35,panchromatic,,,,
Lomography Color 400 120,400,120,1.35,panchromatic,,,,
Lomography Color 800 35mm,800,35mm,1.20,panchromatic,,,,
Orwo UN54 35mm,100,35mm,1.18,panchromatic,,,,
Orwo UN54 120,100,120,1.18,panchromatic,,,,
Rollei Infrared 400 35mm,400,35mm,1.30,infrared,,,,
Rollei Infrared 400 120,400,120,1.30,infrared,,,,
Arista.edu Ultra 100 35mm,100,35mm,1.35,panchromatic,,,,
Arista.edu Ultra 100 120,100,120,1.35,panchromatic,,,,
Arista.edu Ultra 100 4x5,100,4x5,1.35,panchromatic,,,,
Arista.edu Ultra 100 8x10,100,8x10,1.35,panchromatic,,,,
Arista.edu Ultra 200 35mm,200,35mm,1.65,panchromatic,,,,
Arista.edu Ultra 200 120,200,120,1.65,panchromatic,,,,
Arista.edu Ultra 200 4x5,200,4x5,1.65,panchromatic,,,,
Arista.edu Ultra 200 8x10,200,8x10,1.65,panchromatic,,,,
Arista.edu Ultra 400 35mm,400,35mm,1.38,panchromatic,,,,
Arista.edu Ultra 400 120,400,120,1.38,panchromatic,,,,
Arista.edu Ultra 400 4x5,400,4x5,1.38,panchromatic,,,,
Arista.edu Ultra 400 8x10,400,8x10,1.38,panchromatic,,,,
Adox MCC 110 FB Paper 4x5,3,4x5,paper_adox,orthochromatic,,,,
Adox MCC 110 FB Paper 8x10,3,8x10,paper_adox,orthochromatic,,,,
Adox MCP 312 RC Paper 4x5,6,4x5,paper_adox,orthochromatic,,,,
Adox MCP 312 RC Paper 5x7,6,5x7,paper_adox,orthochromatic,,,,
Adox MCP 312 RC Paper 8x10,6,8x10,paper_adox,orthochromatic,,,,
Foma Fomabrom Variant III FB Paper 4x5,6,4x5,bw_paper,orthochromatic,,,,
Foma Fomabrom Variant III FB Paper 8x10,6,8x10,bw_paper,orthochromatic,,,,
Fomaspeed Variant III RC Paper 4x5,6,4x5,bw_paper,orthochromatic,,,,
Fomaspeed Variant III RC Paper 5x7,6,5x7,bw_paper,orthochromatic,,,,
Fomaspeed Variant III RC Paper 8x10,6,8x10,bw_paper,orthochromatic,,,,
Harman Direct Positive FB Paper 4x5,3,4x5,bw_paper,orthochromatic,,yes,,
Harman Direct Positive FB Paper 5x7,3,5x7,bw_paper,orthochromatic,,yes,,
Harman Direct Positive FB Paper 8x10,3,8x10,bw_paper,orthochromatic,,yes,,
Ilford MGFB Warmtone Paper 4x5,3,4x5,bw_paper,orthochromatic,,,,
Ilford MGFB Warmtone Paper 8x10,3,8x10,bw_paper,orthochromatic,,,,
Ilford Multigrade FB Paper 4x5,6,4x5,bw_paper,orthochromatic,,,,
Ilford Multigrade FB Paper 5x7,6,5x7,bw_paper,orthochromatic,,,,
Ilford Multigrade FB Paper 8x10,6,8x10,bw_paper,orthochromatic,,,,
Ilford Multigrade FB Paper 11x14,6,11x14,bw_paper,orthochromatic,,,,
Ilford Multigrade RC Deluxe Paper 4x5,6,4x5,bw_paper,orthochromatic,,,,
Ilford Multigrade RC Deluxe Paper 5x7,6,5x7,bw_paper,orthochromatic,,,,
Ilford Multigrade RC Deluxe Paper 8x10,6,8x10,bw_paper,orthochromatic,,,,
Ilford Multigrade RC Deluxe Paper 11x14,6,11x14,bw_paper,orthochromatic,,,,
Kentmere VC Select RC Paper 4x5,6,4x5,bw_paper,orthochromatic,,,,
Kentmere VC Select RC Paper 8x10,6,8x10,bw_paper,orthochromatic,,,,
Arista.EDU RC Paper 4x5,6,4x5,bw_paper,orthochromatic,,,,
Arista.EDU RC Paper 5x7,6,5x7,bw_paper,orthochromatic,,,,
Arista.EDU RC Paper 8x10,6,8x10,bw_paper,orthochromatic,,,,
Arista.EDU FB Paper 4x5,6,4x5,bw_paper,orthochromatic,,,,
Arista.EDU FB Paper 8x10,6,8x10,bw_paper,orthochromatic,,,,
Fujifilm Crystal Archive CA,2,none,generic,panchromatic,,yes,,
Fujifilm Crystal Archive DPII,3,none,generic,panchromatic,,yes,,
Adox Color Mission,2,none,generic,panchromatic,,yes,,
Labo Argentique Fujicolor,2,none,generic,panchromatic,,yes,,
Kodak Endura Premier,3,none,generic,panchromatic,,yes,,
Kodak Endura Ultra,3,none,generic,panchromatic,,yes,,
Kodak Endura Metallic,2,none,generic,panchromatic,,yes,,
Kodak Endura Supra,3,none,generic,panchromatic,,yes,,
Wet Plate Collodion — Negative (6th Plate),2,sixth plate,zebra_dry_plate,blue-sensitive,,,83,70
Wet Plate Collodion — Negative (Quarter Plate),2,quarter plate,zebra_dry_plate,blue-sensitive,,,108,83
Wet Plate Collodion — Negative (4x5),2,4x5,zebra_dry_plate,blue-sensitive,,,,
Wet Plate Collodion — Negative (Half Plate),2,half plate,zebra_dry_plate,blue-sensitive,,,,
Wet Plate Collodion — Negative (5x7),2,5x7,zebra_dry_plate,blue-sensitive,,,,
Wet Plate Collodion — Negative (Whole Plate),2,whole plate,zebra_dry_plate,blue-sensitive,,,,
Wet Plate Collodion — Negative (8x10),2,8x10,zebra_dry_plate,blue-sensitive,,,,
Wet Plate Collodion — Negative (11x14),2,11x14,zebra_dry_plate,blue-sensitive,,,,
Tintype / Ferrotype (6th Plate),2,sixth plate,zebra_dry_plate,blue-sensitive,,yes,83,70
Tintype / Ferrotype (Quarter Plate),2,quarter plate,zebra_dry_plate,blue-sensitive,,yes,108,83
Tintype / Ferrotype (4x5),2,4x5,zebra_dry_plate,blue-sensitive,,yes,,
Tintype / Ferrotype (5x7),2,5x7,zebra_dry_plate,blue-sensitive,,yes,,
Tintype / Ferrotype (8x10),2,8x10,zebra_dry_plate,blue-sensitive,,yes,,
Ambrotype (6th Plate),2,sixth plate,zebra_dry_plate,blue-sensitive,,yes,83,70
Ambrotype (Quarter Plate),2,quarter plate,zebra_dry_plate,blue-sensitive,,yes,108,83
Ambrotype (4x5),2,4x5,zebra_dry_plate,blue-sensitive,,yes,,
Ambrotype (5x7),2,5x7,zebra_dry_plate,blue-sensitive,,yes,,
Ambrotype (8x10),2,8x10,zebra_dry_plate,blue-sensitive,,yes,,
Wet Plate — Fast Bath ISO 4 (4x5),4,4x5,zebra_dry_plate,blue-sensitive,,,,
Wet Plate — Fast Bath ISO 4 (5x7),4,5x7,zebra_dry_plate,blue-sensitive,,,,
Wet Plate — Fast Bath ISO 4 (8x10),4,8x10,zebra_dry_plate,blue-sensitive,,,,
Wet Plate — Slow Bath ISO 1 (4x5),1,4x5,zebra_dry_plate,blue-sensitive,,,,
Wet Plate — Slow Bath ISO 1 (5x7),1,5x7,zebra_dry_plate,blue-sensitive,,,,
Wet Plate — Slow Bath ISO 1 (8x10),1,8x10,zebra_dry_plate,blue-sensitive,,,,
Wet Plate — Super Slow Bath ISO .4 (5x7),.4,5x7,zebra_dry_plate,blue-sensitive,,,,
